source,stamp,ax,ay,az,gx,gy,gz,qx,qy,qz,qw
raw,421.427,4.721330348925053e-05,-0.001602247838984528,7.759023687860249,0.00010732055101904842,-2.5955259289402247e-05,1.1132129823038637e-05,,,,
raw,422.427,5.727900279240196e-05,0.001355366540626611,11.469826260105846,-0.0005052277917725217,-7.628217971047641e-05,-0.00010456027317969803,,,,
raw,423.427,-7.208803925196129e-05,1.054145342126121e-05,9.800016503316835,-0.00037064959077326773,-7.594765198912124e-05,-3.0764127074450794e-05,,,,
raw,424.428,-0.00030247488019277246,-0.00010216337432943345,9.800052730283305,0.00011256548596288462,-0.00015074192718531057,0.00011800627568543333,,,,
raw,425.429,-1.7412763883150184e-05,0.0012923590181091711,11.469989754461947,-0.00047314127390669187,6.953296100483324e-05,-1.1476365923392449e-05,,,,
raw,426.429,-4.179134018482414e-05,-0.00014713044187587203,9.800015167149974,-0.00038897788739771286,3.75294474471595e-05,2.9010169683876327e-05,,,,
raw,427.43,2.2275091403586827e-05,6.353591284872723e-05,9.79993507345175,-0.00014503927706958848,3.745201029612127e-05,-0.00011420324805223269,,,,
raw,428.431,5.6225114696195403e-05,-1.2898075093971986e-05,9.800055901396298,-0.00022653265129467896,-4.7404770267744264e-05,0.00013012213292938626,,,,
raw,429.432,0.0001327151853749446,-4.1795964306694746e-05,9.800010831559236,0.000298275344300387,-2.4778970452244157e-06,2.1969623246481235e-05,,,,
raw,430.432,-5.759541096779527e-05,-0.0002312894344895361,9.800002234720482,1.1552376986489445e-05,5.687113429686056e-05,-0.0002364682815141156,,,,
raw,431.432,6.1950415544301e-05,-0.0010759234802126913,8.387030792794013,0.00023243156943008995,-0.0002314586269567373,0.00022770479759792335,,,,
raw,432.432,3.1271714951671887e-05,-0.0014314636459629433,8.129909853495969,7.34802577569911e-05,-2.2440022793646943e-05,-3.926970356046291e-05,,,,
raw,433.433,9.417697381473558e-05,-0.00010122487450346838,9.800066637439306,-0.00047724831129318496,0.0001477545481920774,-6.5392766262437e-05,,,,
raw,434.434,0.000188883370965421,-0.0002804424462744406,9.799963484363284,-6.586707807533901e-05,0.00015510181288289925,3.828916448754631e-05,,,,
raw,435.434,4.452641676342176e-05,-0.0001436103935008308,9.799846381896478,-0.000473395775037036,-0.000192260087845087,-0.00013087688749361848,,,,
filtered,421.427,4.721330348925053e-05,-0.001602247838984528,7.759023687860249,0.00010732055101904842,-2.5955259289402247e-05,1.1132129823038637e-05,-0.00014182033878505255,1.664480538389902e-06,1.0956024246425446e-06,0.9999999899415103
filtered,422.427,5.727900279240196e-05,0.001355366540626611,11.469826260105846,-0.0005052277917725217,-7.628217971047641e-05,-0.00010456027317969803,-4.436714846864119e-05,-7.900348785826653e-07,5.72731752127031e-07,0.9999999990153021
filtered,423.427,-7.208803925196129e-05,1.054145342126121e-05,9.800016503316835,-0.00037064959077326773,-7.594765198912124e-05,-3.0764127074450794e-05,5.337295788360844e-05,8.76687208783228e-06,4.1928868420123256e-07,0.9999999985371468
filtered,424.428,-0.00030247488019277246,-0.00010216337432943345,9.800052730283305,0.00011256548596288462,-0.00015074192718531057,0.00011800627568543333,-4.5450468082854764e-05,1.9405883944141158e-05,1.0077955455805855e-06,0.9999999987783255
filtered,425.429,-1.7412763883150184e-05,0.0012923590181091711,11.469989754461947,-0.00047314127390669187,6.953296100483324e-05,-1.1476365923392449e-05,5.058847993881541e-05,1.7625923162958988e-06,9.51535752747754e-07,0.9999999987183966
filtered,426.429,-4.179134018482414e-05,-0.00014713044187587203,9.800015167149974,-0.00038897788739771286,3.75294474471595e-05,2.9010169683876327e-05,-5.147163273206399e-05,2.5993418285944396e-06,1.0963902172399947e-06,0.9999999986713561
filtered,427.43,2.2275091403586827e-05,6.353591284872723e-05,9.79993507345175,-0.00014503927706958848,3.745201029612127e-05,-0.00011420324805223269,4.771134632511936e-05,-4.040832723216096e-06,5.252745024948331e-07,0.9999999988535115
filtered,428.431,5.6225114696195403e-05,-1.2898075093971986e-05,9.800055901396298,-0.00022653265129467896,-4.7404770267744264e-05,0.00013012213292938626,-5.339175969100493e-05,-1.8753304701111841e-06,1.1761586439958224e-06,0.9999999985722099
filtered,429.432,0.0001327151853749446,-4.1795964306694746e-05,9.800010831559236,0.000298275344300387,-2.4778970452244157e-06,2.1969623246481235e-05,4.766648757367133e-05,-1.1443394811648927e-05,1.2853133006312915e-06,0.9999999987976513
filtered,430.432,-5.759541096779527e-05,-0.0002312894344895361,9.800002234720482,1.1552376986489445e-05,5.687113429686056e-05,-0.0002364682815141156,-4.9473906464959645e-05,1.2348591138162212e-05,1.0297780273818628e-07,0.9999999986999173
filtered,431.432,6.1950415544301e-05,-0.0010759234802126913,8.387030792794013,0.00023243156943008995,-0.0002314586269567373,0.00022770479759792335,-0.00011639205353417992,-6.223581203293527e-05,1.237071293986381e-06,0.9999999912890315
filtered,432.432,3.1271714951671887e-05,-0.0014314636459629433,8.129909853495969,7.34802577569911e-05,-2.2440022793646943e-05,-3.926970356046291e-05,-7.377072682956745e-05,2.8472891435634993e-05,1.048699838102722e-06,0.9999999968730373
filtered,433.433,9.417697381473558e-05,-0.00010122487450346838,9.800066637439306,-0.00047724831129318496,0.0001477545481920774,-6.5392766262437e-05,1.3820739076403346e-05,-1.446502098957399e-05,7.210893152338212e-07,0.9999999997996151
filtered,434.434,0.000188883370965421,-0.0002804424462744406,9.799963484363284,-6.586707807533901e-05,0.00015510181288289925,3.828916448754631e-05,-8.52493203960517e-05,3.1147405097991983e-06,9.137371251382424e-07,0.9999999963610084
filtered,435.434,4.452641676342176e-05,-0.0001436103935008308,9.799846381896478,-0.000473395775037036,-0.000192260087845087,-0.00013087688749361848,1.2153353714204225e-05,-4.755468889570442e-06,2.5916382566601815e-07,0.999999999914807
